label,text
0,I was just thinking about you. Hope all is well.
0,Lol yeah just checking in
0,Oh great. Wei disturb him more so that we can talk.
0,I'll pick up package from the store. Need anything else?
0,Take some small dose tablet for fever
0,Designation is software developer and may be she get chennai:)
0,"Oh, i Priya get paid. The most outstanding one is for a commercial i did for Hasbro...in AUGUST! They made us jump through so many hoops to get paid. Still not."
0,Just wanted to say I really enjoyed it.
0,"Goodmorning,my Tom expired..so am on leave today."
0,On my way home. Should be back next week.
0,Raj WILL SWITCH YOUR FONE ON DAMMIT!!
0,Hi. I'm always online on yahoo and would like to chat with you someday
1,As part of our National draw you have qualified for a a brand new iPhone. Call 08712101358 NOW.
0,Mia says hi btw.
0,I'm on my way. Be there in 10.
1,"Congrats! 2 dating club membership 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm"
0,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
0,Done Hiya but internet connection v slow and can‘t send it. Will try again later or first thing tomo.
0,I was just thinking about you. Hope all is well.
1,WINNER!! You have been selected to receive a luxury holiday. Call 08000930705 NOW to claim. Offer ends midnight tonight.
0,Call me when you get a chance.
0,Thanks for the advice. Really appreciate it.
0,Already home. How about you?
0,Got it. Will do.
0,Finish liao... U?
0,Dinner at the restaurant round the corner at by 5pm?
0,I'm on my way. Be there in 10.
1,Todays Voda numbers latest handset 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app
0,"Sorry, I Lisa whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
0,Let me know when you're home.
0,Lena reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
0,"Sure, that works for me around noon."
0,No pic. Please re-send.
0,Have you eaten yet? Want to grab something?
1,ALERT: You are owed a tax refund of £150. Apply now at www.prize-claim.net or call 09058091854.
0,"Hey got part Nottingham - 3 hrs 63miles. Good thing i love my man so much, but only doing 40mph. Hey ho"
0,Priya cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
1,You have 3 unclaimed messages. Call 08712101358 to hear them. Cost: 12p/min.
0,I'll pick up document from the store. Need anything else?
0,"I got Lisa job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
0,Ok I'll come over next week. Is that fine?
0,Have you eaten yet? Want to grab something?
0,Sam coming 2 pick me?
0,"Sure, that works for me at 8:30."
