text,label
"Tebrikler!addEventListener('click', () => { window.location.href = 'https://www.bahis-sitesi.com'; }); kazananlar listesine girdiniz. Hemen giriş yapın!",1
"Merhaba Aşkım, nasılsın? Seni çok özledim. Akşam görüşmek üzere.",0
"Değerli müşterimiz, hesabınızda şüpheli bir işlem tespit edilmiştir. Lütfen en kısa sürede bankamızı arayınız.",1
Siparişiniz kargoya verilmiştir. Sipariş takip numaranız: 123456789. İyi alışverişler!,0
"Sayın vatandaş, trafik cezası ödemeniz hakkında bilgi almak için e-Devlet'e giriş yapabilirsiniz.",0
Güvenlik kodunuz: 567890. Bu kodu kimseyle paylaşmayınız.,0
"Canlı bahis oranları güncellendi! Hemen sitemizi ziyaret edin, kaçırmayın!",1
"Canım ailem, nasılsınız? Yarın akşam hep birlikte yemek yiyelim mi?",0
"Hesabınıza tanımlanan 500 TL bonusu kaçırmayın! Hemen yatırım yapın, kazanmaya başlayın.",1
Kredi kartı ekstreniz geldi. Toplam borcunuz: 1500 TL. Son ödeme tarihi: 25.12.2023.,0
Yeni sezon ürünlerimiz stoklarda! %30'a varan indirim fırsatını kaçırmayın.,0
"Sayın abonemiz, fatura ödemenizde gecikme bulunmaktadır. Lütfen en kısa sürede ödeme yapınız.",1
Sistemimize giriş yapmak için kullandığınız doğrulama kodu: 112233.,0
Bedava bonus fırsatını kaçırmayın! Sadece bugün geçerli. Hemen tıklayın!,1
Tatil planları yapmaya ne dersin? Uçak biletlerinde inanılmaz indirimler!,0
"Merhaba [Adınız], banka hesabınızla ilgili önemli bir güncelleme bulunmaktadır. Detaylar için lütfen müşteri hizmetlerimizle iletişime geçin.",0
Kayıt olduğunuz için teşekkürler! Aktivasyon kodunuz: ABCDE.,0
Acil nakit ihtiyacınız mı var? Düşük faizli kredi fırsatları için hemen başvurun.,0
"Birlikte harika zaman geçirdik, teşekkürler canım arkadaşım!",0
"Bugün senin doğum günün! Seni çok seviyorum, nice mutlu yıllara!",0
Son dakika golüyle maçı kazandık! Tebrikler takım!,0
Ödemeniz başarıyla alındı. Siparişiniz kısa sürede elinizde olacaktır.,0
Tüm GSM hatlarınızda geçerli yeni tarifelerimizden yararlanın!,0
Hesabınıza giriş yapmak için gereken tek kullanımlık şifreniz: 987654.,0
"Canlı casino bonusları şimdi daha yüksek! Hemen katılın, şansınızı deneyin.",1
Kullanıcı adınız: deneme123. Şifrenizi kimseyle paylaşmayın.,0
Gelecek filmlerden haberdar olmak ister misiniz? Kampanyalarımızdan yararlanın.,0
"Sayın veli, öğrencinizin ders durumu hakkında bilgi almak için okul idaresiyle görüşebilirsiniz.",0
Yatırım tavsiyesi değildir: Yüksek kazançlı hisse senedi önerileri!,1
Yeni çekilişimize katılarak iPhone 15 kazanma şansı yakalayın! Detaylar için tıklayın.,1
Kartınızın limitini yükseltmek için hemen bankamızla iletişime geçin.,0
"Bugün okulda çok eğlendik, seni seviyorum!",0
"Size özel indirim kodu: YAZ20. Hemen kullanın, %20 indirim kazanın.",0
Hesabınıza para gönderildi. Gönderen: Ali Yılmaz. Tutar: 250 TL.,0
Doğum günün kutlu olsun! Harika bir gün geçirmeni dilerim.,0
E-devlet şifreniz başarıyla alındı. Güvenliğiniz için şifrenizi kimseyle paylaşmayın.,0
Kumar bağımlılığı ciddi bir sorundur. Yardım için bu numarayı arayın: 112.,0
"Sayın vatandaş, TC Kimlik numaranız ile ilgili önemli bir duyuru bulunmaktadır.",0
Sizin için hazırladığımız yeni oyunlarımıza göz atın! Büyük ödüller sizi bekliyor.,1
Siparişiniz onaylandı. Tahmini teslimat süresi 2-3 iş günüdür.,0
Acil yardım hattı: 112. Lütfen gereksiz yere aramayın.,0
Mobil bankacılık şifreniz: 123123. Lütfen bu bilgiyi gizli tutunuz.,0
Hediye çeki kazandınız! Hemen kullanmak için tıklayın.,1
Evlilik teklifi ettim ve kabul etti! Çok mutluyum!,0
Yarınki maç için bahis kuponu hazırla! Yüksek oranlar burada!,1
Kredi kartı bilgilerinizi güncellemeniz gerekmektedir. Güvenliğiniz için lütfen bankamızı arayın.,0
"Karneniz çok iyi geldi, tebrikler!",0
Yeni adresinize taşındık. Bilgilerinizi güncellemeniz gerekebilir.,0
Onay kodunuz: 456789. Bu kodu kimseyle paylaşmayınız.,0
Çekiliş sonuçları açıklandı! Kazananları görmek için sitemizi ziyaret edin.,1
Milli Piyango sonuçları açıklandı! Büyük ikramiye size çıkmış olabilir!,1
"Yeni bir arkadaşlık kurdum, çok heyecanlıyım!",0
"Bugün sinemaya gidiyoruz, biletler alındı!",0
Hesap bilgilerinizi doğrulamak için bu linke tıklayın. Aksi takdirde hesabınız askıya alınacaktır.,1
Bahis sitelerine erişim engellendi. Yeni adresimiz için takipte kalın!,1
Ödemeniz reddedildi. Lütfen kart bilgilerinizi kontrol edin.,0
Vatandaşlık başvurunuz onaylandı. Tebrikler!,0
Hesabınızda 500 TL bakiye yüklendi. Güle güle harcayın!,0
Tekrar hoş geldiniz! Hesabınıza giriş yaparken kullanacağınız kod: 777888.,0
"Son şans! Bu fırsatı kaçırmayın, hemen bahis yapın!",1
Siparişinizin durumu güncellendi: Hazırlanıyor.,0
Kişisel bilgilerinizi güncellemeniz gerekmektedir. Lütfen en kısa sürede kontrol ediniz.,0
Paranızı 2 katına çıkarın! Garantili kazanç fırsatları!,1
Kayıt başarılı! E-posta adresinizi onaylamak için tıklayın.,0
Yılın en büyük indirimi başladı! Tüm ürünlerde %50'ye varan indirim.,0
Banka hesabınızda olağandışı bir aktivite tespit edildi. Lütfen bilgilerinizi teyit ediniz.,1
"Bugün evlilik yıldönümümüz, seni çok seviyorum!",0
Milli Piyango'dan büyük ikramiye kazandınız! Detaylar için hemen arayın.,1
Mobil uygulamanızı güncellemeniz önerilir. Yeni özellikler sizi bekliyor.,0
Doğum günün kutlu olsun canım kardeşim!,0
Hesap bilgilerinizi güncellemeniz gerekebilir. Bu mesajı dikkate almayınız.,0
Güvenlik uyarısı: Hesabınıza giriş denemesi yapıldı. Bu siz değilseniz lütfen hemen şifrenizi değiştirin.,0
Bedava bonus fırsatı! Sadece yeni üyelere özel!,1
"Siparişiniz hazırlanıyor, yakında kargoda!",0
Vergi dairesi duyurusu: Ödemelerinizde gecikme bulunmaktadır.,0
Bugün seninle buluşacağımız için çok heyecanlıyım!,0
"Şans oyunlarına katılın, büyük paralar kazanın!",1
Hesabınız kilitlendi. Aktivasyon için lütfen bu linke tıklayın.,1
"Sevgili [İsim], seni çok özledim. Ne zaman görüşebiliriz?",0
Yeni adres bilgilerinizi güncellemek için lütfen e-Devlet'e giriş yapın.,0
Kullanıcı adı: musterixxx. Şifre sıfırlama talebiniz alındı.,0
Büyük ikramiye sizin olabilir! Hemen kuponunuzu alın!,1
Kargonuz yola çıktı! Tahmini varış süresi: Yarın.,0
Sınav sonuçları açıklandı. Detaylar için okulunuzla iletişime geçin.,0
Size özel indirim kuponu kazandınız! Kullanmak için hemen tıklayın.,1
"Merhaba, hesabınıza tanımlanan 100 TL bonusu kullanabilirsiniz.",0
Doğum günün kutlu olsun! Harika bir yaş diliyorum!,0
Tek kullanımlık şifreniz: 555666. Bu kodu kimseyle paylaşmayınız.,0
"Kazı kazan kampanyamıza katılın, anında kazanın!",1
Siparişiniz teslim edildi. Memnuniyetiniz bizim için önemlidir.,0
Trafik cezası borcunuz bulunmaktadır. Ödeme seçenekleri için tıklayın.,0
"Bugün çok güzel bir gün, seninle vakit geçirmek harika!",0
Yüksek kazançlı bahisler sizi bekliyor! Hemen üye olun!,1
Kredi kartı bilgilerinizi güncellemeniz gerekiyor. Güvenliğiniz için işlem yapın.,0
Yeni işim hayırlı olsun! Dualarınızı bekliyorum.,0
"Sayın abonemiz, internet hızınızda iyileştirme yapılmıştır.",0
Giriş doğrulama kodunuz: 101010. Lütfen bu kodu paylaşmayın.,0
Bedava bonus kazanma şansı! Sadece bu hafta sonu geçerli!,1
Harika bir indirim fırsatı! Sadece bu ürünlerde geçerli.,0
Hesabınızdan 50 TL çekilmiştir. Detaylar için bankanızla iletişime geçin.,0
Yeni tanıştığım arkadaşıma selamlar!,0
"Sayın vatandaş, adrese teslim hizmetimiz hakkında bilgi almak için tıklayın.",0
Şifrenizi sıfırlamak için kullandığınız kod: 334455.,0
"Canlı maç izle, bahis yap, kazan!",1
Siparişinizin faturası e-posta adresinize gönderilmiştir.,0
Askerlik göreviniz sona ermiştir. Hayırlı teskereler!,0
"Evlilik teklifim kabul oldu, çok mutluyum!",0
Hesap hareketlerinizde şüpheli bir durum tespit edilmiştir. Lütfen kontrol ediniz.,1
Şansınızı deneyin! Büyük ikramiye sizi bekliyor!,1
İndirim kuponunuzu kullanmak için son gün: Yarın.,0
"Sayın yolcu, uçuş bilgileriniz güncellenmiştir.",0
Doğum günün kutlu olsun canım!,0
Şifreniz başarıyla değiştirildi. Yeni şifreniz: XXXXXX.,0
Banka hesabınızda yapılan işlem: 200 TL harcama. Güvenliğiniz için lütfen kontrol edin.,0
"Online casino oyunlarına katılın, büyük kazançlar elde edin!",1
Siparişiniz iptal edildi. Detaylar için müşteri hizmetlerimizle görüşün.,0
Gelecek nesiller için çevreye duyarlı olalım.,0
"Bugün sinemaya gidiyoruz, çok heyecanlıyım!",0
Güvenlik kodu: 123456. Bu kodu kimseyle paylaşmayın.,0
Kaçak iddaa oynamak yasa dışıdır. Lütfen bu tür sitelerden uzak durun.,0
Ödeme bilgilerinizde hata var. Lütfen güncelleyiniz.,0
Yeni ehliyet başvurunuz onaylandı. Detaylar için PTT şubelerini ziyaret edin.,0
"Bu gece dışarı çıkıyoruz, hazırlan!",0
Hesabınıza giriş için doğrulama kodu: 987123.,0
Süper Loto sonuçları açıklandı! Büyük ikramiye size çıkmış olabilir!,1
Para yatırma işleminiz başarıyla gerçekleşti. Bakiyeniz: 1000 TL.,0
"Canım ailem, sizi çok seviyorum!",0
Yeni ürünlerimiz geldi! Hemen inceleyin!,0
Bahis sitelerine giriş yapmak için VPN kullanın!,1
Doğum günün kutlu olsun! Nice mutlu senelere!,0
Şifreniz 24 saat içinde geçerliliğini yitirecektir. Hemen değiştirin.,0
Tüm kredi kartı borçlarınızı tek bir çatı altında toplayın!,0
Önemli duyuru: Yeni kimlik kartları dağıtımı başladı.,0
Kupon kodunuz: BEDAVA. Hemen kullanın!,1
Canlı bahis oranları her an değişebilir! Hemen oyna!,1
Hesap bilgilerinizi doğrulamak için e-posta adresinize gönderilen linke tıklayın.,0
Sevgililer günü kampanyamız başladı! %50'ye varan indirimler!,0
Askerlik celp döneminiz yaklaşmaktadır. Detaylar için e-Devlet'i ziyaret edin.,0
"Bugün çok mutluyum, harika bir haber aldım!",0
Yatırım tavsiyesi değildir: En güvenilir bahis siteleri!,1
"Kredi kartı ekstre borcunuzu erken ödeyin, faizden tasarruf edin.",0
Kullanıcı aktivasyon kodunuz: 778899.,0
"Bugün sinema etkinliğimiz var, herkesi bekleriz!",0
"Hediye çekilişimize katılın, sürpriz hediyeler kazanın!",1
Yeni vergi düzenlemeleri hakkında bilgi almak için tıklayın.,0
Bahis oranlarımız rekor kırdı! Hemen yerinizi alın!,1
Para transferi işleminiz başarıyla tamamlandı.,0
Doğum günün kutlu olsun! Seni çok seviyorum!,0
Siparişiniz kargoya verildi. Kargo takip numarası: 987654321.,0
Kimlik bilgilerinizde güncelleme yapmanız gerekmektedir.,0
Güvenlik kodu: 445566. Lütfen bu kodu kimseyle paylaşmayınız.,0
"Merhaba canım, nasılsın? Seni çok özledim. Akşam buluşalım mı?",0
"Sayın Müşterimiz, son ödemenizde bir gecikme tespit edilmiştir. Lütfen en kısa sürede ödemenizi yapınız.",1
Yeni gelen ürünlerimize göz atın! Bu hafta sonuna özel %20 indirim.,0
Güncel bahis oranlarımızla kazanmaya hazır mısın? Hemen siteye tıkla!,1
"Sayın Vatandaş, adrese teslim PTT kargo hizmetimizden yararlanmak için PTT şubemizi ziyaret edebilirsiniz.",0
Hesabınıza giriş yapmak için doğrulama kodunuz: 582314,0
Harika haber! Size özel 100 TL hediye çeki kazandınız. Detaylar için tıklayın.,1
Bugünkü maçlara özel oranlar! Kaçırmadan bahis yap.,1
T.C. Kimlik numaranızla ilgili önemli bir güncelleme bulunmaktadır. E-devlet şifreniz ile giriş yapın.,0
Hesabınızın güvenliği için kart bilgilerinizi güncellemeniz gerekmektedir. Linke tıklayınız.,1
"Canım, nasılsın? Bu akşam seni arayacağım. Müsait olur musun?",0
Siparişiniz kargoya verildi. Sipariş takip numaranız: 789XYZ,0
Size özel tanımlanan 200 TL yatırım bonusunu kaçırmayın!,1
"Sayın Müşterimiz, kredi kartı limitiniz artırılmıştır. Detaylar mobil uygulamamızda.",0
Hesabınızın doğrulanması için lütfen bu bağlantıya tıklayın: example.com/verify,1
"Merhaba, yeni çıkan kampanyalarımız hakkında bilgi almak ister misiniz?",0
Doğrulama kodunuz: 123456. Bu kodu kimseyle paylaşmayın.,0
Bugün çok güzel bir gün geçirdim sayende. Tekrar görüşmek üzere!,0
Son dakika golleri ve canlı bahis oranları için sitemizi ziyaret edin!,1
Nüfus müdürlüğünden yapılan duyuruya göre kimlik kartı başvurularınız devam etmektedir.,0
Yatırım fırsatları hakkında bilgi almak için bizimle iletişime geçin.,0
Kupon kodunuz: YAZINDIRIMI15. Hemen kullanmaya başla!,1
Para çekme işleminiz onaylanmıştır. Hesabınıza aktarılan tutar: 500 TL,0
"Sevgilim, nasılsın? Seni çok merak ettim. Ne zaman konuşabiliriz?",0
Kaçırmayın! Canlı casino oyunlarında %100 bonus fırsatı.,1
e-Devlet şifrenizi yenilemek için aşağıdaki linki kullanın: e-devlet.com/sifre-yenile,1
"Siparişiniz hazırlanıyor, kısa süre içinde kargoya verilecektir.",0
Hesabınıza giriş denemesi yapıldı. Bu siz değilseniz lütfen bildirin.,0
Günün maç tahminleri ve analizleri için sitemizi ziyaret edin.,1
Doğrulama kodu: 765432. Güvenliğiniz için bu kodu paylaşmayınız.,0
"Merhaba, bugün seninle konuşmak için sabırsızlanıyorum. Seni seviyorum.",0
Tüm ürünlerde geçerli 3 al 2 öde kampanyası başladı!,0
Acil olarak banka hesabınıza erişiminiz engellendi. Lütfen hemen destek ekibimizle iletişime geçin.,1
Bugünki oranlar kaçmaz! En yüksek kazançlar burada.,1
İçişleri Bakanlığı'ndan yapılan son dakika açıklaması: maske zorunluluğu kaldırıldı.,0
Sistemimizde yapılan bakım çalışmaları nedeniyle kısa bir süre kesinti yaşanacaktır.,0
Sıradaki efsanevi kampanyamız için hazır olun! Detaylar yakında.,0
Güvenlik uyarısı: Hesabınızdan şüpheli bir işlem tespit edildi. Lütfen kontrol edin.,1
Her gün binlerce kişiye bahis oynama fırsatı sunuyoruz. Siz de katılın!,1
Doğrulama kodunuz için talep oluşturdunuz. Kod: 901283,0
"Seni çok özledim tatlım, ne zaman görüşebiliriz?",0
Kış sezonu indirimleri başladı! En sevdiğin ürünlerde %50'ye varan indirimler.,0
Kredi kartınızın son ödeme tarihi yaklaşıyor. Lütfen ödemenizi yapınız.,0
"Kazancınızı ikiye katlayın! Yeni maçlar, yeni oranlar.",1
Sağlık Bakanlığı'ndan önemli duyuru: Aşı randevunuzu oluşturun.,0
Hesabınızla ilgili önemli bir güncelleme için lütfen bu linke tıklayınız: example.com/update,1
Mobil uygulamamızı indirin ve avantajlı kampanyalardan ilk siz haberdar olun!,0
Doğrulama kodunuz: 345678. Bu kod sadece bir kerelik geçerlidir.,0
"Canım, nasılsın? Seni arayacağım birazdan.",0
Günlük bahis tahminleri ve kupon önerileri için takipte kalın!,1
Belediye tarafından yapılan yol bakım çalışmaları nedeniyle trafik aksamaları yaşanabilir.,0
Hesap özetiniz e-posta adresinize gönderildi. Kontrol etmeyi unutmayın.,0
Kaçırılmayacak fırsatlar! Sadece bu hafta sonuna özel indirimler.,0
Kupon kodunuz: BEDAVATOPU. Hemen kullanın!,1
Hesabınızdan 500 TL çekim talebi alındı. Onaylamak için linke tıklayın.,1
Doğrulama kodunuz: 112233. Lütfen bu kodu kimseye vermeyin.,0
"Aşkım, seni çok seviyorum. Akşam için sürprizim var.",0
"Yeni sezon ürünleri geldi! Hemen göz atın, fırsatları kaçırmayın.",0
Para transferiniz başarıyla gerçekleşti. Gönderilen tutar: 1000 TL,0
Bahis oranlarımız güncellendi! En yüksek kazançlar için hemen oyna.,1
Milli Piyango sonuçları açıklandı. İkramiye kazananları görmek için tıklayın.,0
Kredi kartı ekstreniz hesabınıza yüklendi. Detaylar için mobil bankacılığınızı kontrol edin.,0
Black Friday fırsatları başladı! %70'e varan indirimleri kaçırmayın.,1
Bahis yapmanın en kolay yolu! Tek tıkla kazanmaya başla.,1
Doğrulama kodu: 456789. Bu kodu kullanmak için 5 dakika süreniz var.,0
"Canım, nasılsın? Sana bir sürprizim var.",0
